Paper,Link,ExtractDatetime
metro,https://metro.co.uk/2020/04/02/morrisons-staff-get-1000-bonus-thank-working-coronavirus-pandemic-12497851/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/02/mum-cancer-ticks-off-bucket-list-home-coronavirus-means-shell-spend-rest-life-isolation-12496155/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/mum-found-dead-going-sleep-off-coronavirus-symptoms-12499035/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/02/new-test-can-detect-coronavirus-90-minutes-used-hospital-12498247/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/02/nhs-13400000000-debt-written-off-help-coronavirus-battle-12500380/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/02/nhs-staff-turned-away-coronavirus-testing-drive-throughs-12498556/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/north-korea-claims-0-coronavirus-cases-global-count-reaches-one-million-12498221/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/oprah-winfrey-donates-10million-leonardo-di-caprios-food-fund-set-help-hard-hit-communities-coronavirus-pandemic-12501330/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/02/spain-records-worlds-highest-number-coronavirus-deaths-day-950-12497170/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/sweden-not-lockdown-12497681/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/02/uk-coronavirus-death-toll-rises-another-569-2921-12498333/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/02/veteran-104-survived-1918-pandemic-oldest-patient-beat-coronavirus-12501179/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/03/300000-paedophiles-will-exploit-coronavirus-lockdown-12502094/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/03/americans-top-coronavirus-doctor-blames-chinese-wet-markets-covid-19-pandemic-12506446/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/03/anybody-working-home-can-claim-money-back-government-12505424/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/boris-johnson-will-stay-coronavirus-quarantine-12504209/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/03/britains-youngest-coronavirus-victim-buried-no-family-funeral-12504643/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/bus-driver-shared-fears-passenger-coughed-dies-coronavirus-12505089/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/coronavirus-immunity-passports-dangerous-unhelpful-12501868/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/coronavirus-uk-mild-symptoms-covid-19-12502161/,2020-04-06 14:22:25.830533
metro,https://metro.co.uk/2020/04/03/dr-hillary-masks-12501810/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/drugs-den-raided-many-people-visiting-coronavirus-lockdown-12504071/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/family-boy-13-killed-coronavirus-cant-go-funeral-displaying-symptoms-12502850/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/four-nhs-staff-die-24-hours-coronavirus-frontline-12506097/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/great-gran-99-uks-oldest-survive-coronavirus-miracle-recovery-12505934/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/health-secretary-matt-hancock-lost-half-stone-three-days-due-coronavirus-12502434/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/03/jennifer-aniston-surprises-nurse-covid-19-12502822/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/judge-rinder-says-92-year-old-grandfather-died-coronavirus-two-days-ago-12503025/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/kate-garraways-husband-icu-battling-coronavirus-12504673/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/linda-lusardi-prayed-die-coronavirus-ordeal-became-much-12501859/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/nurse-36-dies-coronavirus-hospital-worked-12502445/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/nurse-mother-three-39-dies-catching-coronavirus-12504185/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/peak-uk-coronavirus-outbreak-may-come-easter-sunday-12505476/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/03/piers-morgan-supports-kate-garraway-husband-rushed-icu-coronavirus-12505785/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/03/pigs-head-dumped-police-officers-car-windscreen-coronavirus-lockdown-12504065/,2020-04-06 14:22:27.749206
